Names,Intelligence,Strength,Speed,Durability,Power,Combat
A.M.A.Z.O,85.0,86.25,81.25,88.75,96.25,80.0
Abby,1.0,1.0,7.0,15.0,25.0,1.0
Abel Cuvier,80.0,35.0,25.0,25.0,55.0,50.0
Ace,55.0,25.0,25.0,5.0,60.0,20.0
Ace Arn,75.0,35.0,50.0,40.0,65.0,40.0
Ace The Bat-Hound,47.5,3.5,9.0,9.0,20.0,27.5
Adam Atom,80.0,1.0,8.0,15.0,60.0,1.0
Adam Knight,50.0,1.0,5.0,15.0,5.0,25.0
Adam Strange,77.5,13.0,40.0,20.0,27.5,60.0
Adjudicator,100.0,100.0,100.0,100.0,100.0,40.0
Agent 355,60.0,1.0,6.0,10.0,0.0,70.0
Agent 37,80.0,5.0,20.0,9.0,14.0,95.0
Agent 711,60.0,1.0,6.0,10.0,0.0,70.0
Agent Of Source Wall,100.0,100.0,100.0,100.0,100.0,100.0
Air Wave II,70.0,25.0,80.0,25.0,65.0,30.0
Aldar,60.0,95.0,25.0,65.0,75.0,55.0
Alea,60.0,25.0,11.0,20.0,30.0,75.0
Alfred,65.0,1.0,1.0,5.0,1.0,20.0
Alfred Pennyworth,67.5,8.0,4.75,7.75,6.0,31.0
Alice,75.0,1.0,1.0,10.0,10.0,70.0
Alicia Baker,80.0,1.0,85.0,10.0,30.0,25.0
All-Star,0.0,0.0,0.0,0.0,0.0,0.0
Allegra Garcia,60.0,1.0,7.0,10.0,50.0,65.0
Allura In-Ze,85.0,100.0,95.0,85.0,95.0,60.0
Alpha,77.5,50.5,50.5,52.5,52.5,90.0
Amanda Waller,68.33,2.33,4.33,5.33,7.0,33.33
Ambush Bug,80.0,25.0,80.0,100.0,90.0,70.0
Amenadiel,100.0,75.0,83.33,80.0,93.33,100.0
Amethyst,75.0,32.5,67.5,52.5,75.0,72.5
Ampersand,40.0,1.0,8.0,10.0,0.0,10.0
Animal Man,82.5,72.5,65.0,70.0,87.5,75.0
Anti-Matter Man,100.0,100.0,100.0,100.0,100.0,25.0
Anti-Monitor,100.0,99.29,100.0,85.71,95.71,78.57
Apex Lex,90.0,100.0,100.0,90.0,100.0,80.0
Apex Predator,100.0,100.0,100.0,100.0,100.0,100.0
Aphrodite,95.0,100.0,80.0,65.0,90.0,50.0
Apollo,75.0,55.0,100.0,60.0,85.0,70.0
Aquaboy,85.0,25.0,5.0,15.0,40.0,15.0
Aquagirl I,65.0,25.0,20.0,20.0,55.0,45.0
Aqualad,58.75,17.5,25.0,18.75,51.25,36.25
Aqualad II,60.0,30.0,25.0,30.0,65.0,50.0
Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
Araquel,100.0,100.0,100.0,100.0,100.0,100.0
Ares,94.17,97.5,83.33,83.33,90.83,100.0
