,Names,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Abilities,Creators
0,4-D,0,0,0,0,0,0,0,,DC Comics
1,514A,0,0,0,0,0,0,0,,DC Comics
2,A Calculus,0,0,0,0,0,0,0,,DC Comics
3,A-Mortal,0,0,0,0,0,0,0,,DC Comics
4,A.M.A.Z.O,0,0,0,0,0,0,0,,DC Comics
5,A.M.A.Z.O,85,100,100,100,100,90,80,"['Adaptation', 'Agility', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Fire Resistance', 'Flight', 'Force Fields', 'Gravity Control', 'Heat Resistance', 'Immortality', 'Indestructible Digestion', 'Information Analysis', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Lantern Power Ring', 'Levitation', 'Power Absorption', 'Power Mimicry', 'Reactive Power Level', 'Reflexes', 'Robotic Engineering', 'Shapeshifting', 'Size Changing', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Cryo', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vision - X-Ray', 'Accelerated Healing', 'Bullet Time', 'Dimensional Awareness', 'Electro-Magnetism Manipulation', 'Electrokinesis', 'Energy Constructs', 'Fire Control', 'Heat Generation', 'Illusions', 'Intangibility', 'Light Control', 'Master Martial Artist', 'Mind Blast', 'Phasing', 'Portal Creation', 'Power Absorption Immunity', 'Regeneration', 'Self-Sustenance', 'Spatial Awareness', 'Stealth', 'Telekinesis', 'Telepathy', 'Invisibility']",DC Comics
6,A.M.A.Z.O,0,0,0,0,0,0,0,,DC Comics
7,A.M.A.Z.O (Worlogog),0,0,0,0,0,0,0,,DC Comics
8,A.M.A.Z.O,60,45,25,55,85,30,30,"['Super Speed', 'Super Strength', 'Density Control', 'Energy Blasts', 'Flight', 'Invulnerability', 'Power Mimicry', 'Sonic Scream', 'Vision - Heat', 'Wind Control', 'Shapeshifting']",DC Comics
9,A.M.A.Z.O.,95,100,100,100,100,100,80,"['Ability Shift', 'Accelerated Development', 'Accelerated Healing', 'Adaptation', 'Agility', 'Attack Reflection', 'Audio Control', 'Berserk Mode', 'Biokinesis', 'Bionics', 'Camouflage', 'Changing Armor', 'Cloaking', 'Cold Resistance', 'Cryokinesis', 'Danger Sense', 'Durability', 'Elasticity', 'Electrokinesis', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Constructs', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Senses', 'Enhanced Sight', 'Explosion Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Gravity Control', 'Hacking', 'Heat Generation', 'Heat Resistance', 'Intangibility', 'Intelligence', 'Invisibility', 'Invulnerability', 'Levitation', 'Light Control', 'Marksmanship', 'Phasing', 'Portal Creation', 'Power Absorption', 'Power Mimicry', 'Psionic Powers', 'Reflexes', 'Regeneration', 'Robotic Engineering', 'Self-Sustenance', 'Size Changing', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telekinesis', 'Teleportation', 'Vision - Heat', 'Vision - X-Ray', 'Absorption', 'Acrobatics', 'Afterimage Creation', 'Animal Control', 'Anti-Gravity', 'Astral Projection', 'Aura', 'Awakened Power', 'Bullet Time', 'Cosmic Awareness', 'Damage Boost', 'Death Touch', 'Density Control', 'Dexterity', 'Dimensional Awareness', 'Dimensional Travel', 'Duplication', 'Electrical Transport', 'Electricity Absorption', 'Electricity Resistance', 'Element Control', 'Elemental Transmogrification', 'Emotional Power Up', 'Empathy', 'Endurance', 'Energy Blasts', 'Energy Resistance', 'Enhanced Memory', 'Enhanced Smell', 'Enhanced Touch', 'Existence Erasure Resistance', 'Extrasensory Perception', 'Illumination', 'Illusions', 'Immortality', 'Indestructible Digestion', 'Indomitable Will', 'Information Analysis', 'Interstellar Travel', 'Jump', 'Lantern Power Ring', 'Longevity', 'Magic', 'Magic Resistance', 'Magnetism', 'Master Martial Artist', 'Master Tactician', 'Matter Absorption', 'Matter Manipulation', 'Mind Blast', 'Mind Control', 'Mind Control Resistance', 'Natural Armor', 'Natural Weapons', 'Possession', 'Possession Resistance', 'Power Absorption Immunity', 'Power Augmentation', 'Power Sense', 'Precognition', 'Pressure Points', 'Probability Manipulation', 'Psychometry', 'Radar Sense', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Rage Power', 'Reactive Evolution', 'Reactive Power Level', 'Resurrection', 'Seismic Power', 'Self-Destruction', 'Shapeshifting', 'Sonar', 'Sonic Scream', 'Soul Resistance', 'Spatial Awareness', 'Status Effect Inducement', 'Stealth', 'Sub-Mariner', 'Super Breath', 'Technological Possession', 'Telepathy', 'Telepathy Resistance', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Timeframe Control', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Transformation', 'Transmutation', 'Underwater breathing', 'Vehicular Mastery', 'Vibration Manipulation', 'Vision - Cryo', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vitakinesis', 'Wallcrawling', 'Water Control', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Willpower Inducement', 'Wind Control', 'Reality Warping']",DC Comics
