,Names,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Abilities,Creators
0,3-D Man,55,9,9,9,60,30,20,"['Durability', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Flight', 'Super Strength', 'Extrasensory Perception', 'Strength Force', 'Force Speed', 'Speed Force']",Marvel Comics
1,3-D Man,0,0,0,0,0,0,0,,Marvel Comics
2,3-D Man,0,0,0,0,0,0,0,,Marvel Comics
3,8-Ball,0,0,0,0,0,0,0,,Marvel Comics
4,?hief Tongah,0,0,0,0,0,0,0,,Marvel Comics
5,A-Bomb,45,100,100,75,60,70,50,"['Accelerated Healing', 'Camouflage', 'Durability', 'Element Control', 'Energy Manipulation', 'Enhanced Memory', 'Flight', 'Hacking', 'Heat Resistance', 'Jump', 'Longevity', 'Master Martial Artist', 'Natural Armor', 'Natural Weapons', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Control', 'Transformation', 'Cloaking', 'Fire Resistance', 'Immortality', 'Invisibility', 'Reality Warping', 'Stealth', 'Toxin and Disease Resistance', 'Wallcrawling']",Marvel Comics
6,A-Bomb,65,90,30,55,50,60,30,"['Cold Resistance', 'Durability', 'Endurance', 'Enhanced Condition', 'Heal', 'Jump', 'Peak Human Condition', 'Radiation Absorption', 'Stamina', 'Super Speed', 'Super Strength', 'Absorption', 'Accelerated Healing', 'Agility', 'Berserk Mode', 'Dexterity', 'Enhanced Senses', 'Fire Resistance', 'Gamma Mutant Physiology', 'Heat Resistance', 'Indomitable Will', 'Invulnerability', 'Longevity', 'Natural Armor', 'Natural Weapons', 'Radiation Immunity', 'Rage Power', 'Reflexes', 'Toxin and Disease Resistance']",Marvel Comics
7,A.I.M. Agent,0,0,0,0,0,0,0,,Marvel Comics
8,Aamir Khan,0,0,0,0,0,0,0,,Marvel Comics
9,Aardwolf,0,0,0,0,0,0,0,,Marvel Comics
10,Aaron English,0,0,0,0,0,0,0,,Marvel Comics
11,Aaron Fischer,0,0,0,0,0,0,0,,Marvel Comics
12,Abadon,0,0,0,0,0,0,0,,Marvel Comics
13,Abdul Alhazred,0,0,0,0,0,0,0,,Marvel Comics
14,Abe Brown,0,0,0,0,0,0,0,,Marvel Comics
15,Abe Brown,0,0,0,0,0,0,0,,Marvel Comics
16,Aberration,0,0,0,0,0,0,0,,Marvel Comics
17,Abigail Whistler,0,0,0,0,0,0,0,,Marvel Comics
18,Abigor,0,0,0,0,0,0,0,,Marvel Comics
19,Abominable Snowman,0,0,0,0,0,0,0,,Marvel Comics
20,Abomination,80,100,100,95,80,75,60,"['Accelerated Healing', 'Animation', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Mind Control Resistance', 'Radiation Control', 'Radiation Immunity', 'Regeneration', 'Stamina', 'Super Speed', 'Super Strength', 'Telepathy Resistance', 'Toxin and Disease Resistance', 'Underwater breathing', 'Master Martial Artist', 'Resurrection', 'Immortality', 'Possession Resistance', 'Soul Resistance', 'Wallcrawling', 'Weapons Master']",Marvel Comics
21,Abomination,65,90,25,50,60,70,30,"['Cold Resistance', 'Durability', 'Endurance', 'Energy Resistance', 'Intelligence', 'Jump', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Agility', 'Electricity Resistance', 'Enhanced Senses', 'Fire Resistance', 'Heat Resistance', 'Invulnerability', 'Radiation Immunity', 'Regeneration', 'Stealth', 'Toxin and Disease Resistance', 'Adaptation', 'Dexterity', 'Insanity']",Marvel Comics
22,Abomination,0,0,0,0,0,0,0,,Marvel Comics
23,Abomination,0,0,0,0,0,0,0,,Marvel Comics
24,Abomination,0,0,0,0,0,0,0,,Marvel Comics
25,Abomination,0,0,0,0,0,0,0,,Marvel Comics
26,Abomination,0,0,0,0,0,0,0,,Marvel Comics
27,Abomination Deathlok,0,0,0,0,0,0,0,,Marvel Comics
28,Abominatrix,0,0,0,0,0,0,0,,Marvel Comics
29,Above All Others,100,100,100,100,100,100,90,"['Nigh-Omnipotence', 'Nigh-Omnipresence', 'Nigh-Omniscience']",Marvel Comics
30,Abraham Erskine,95,1,1,8,0,0,0,['Intelligence'],Marvel Comics
31,Abraham Erskine,80,1,1,1,0,0,0,['Intelligence'],Marvel Comics
32,Abraham Van Helsing,0,0,0,0,0,0,0,,Marvel Comics
33,Abraham Whistler,0,0,0,0,0,0,0,,Marvel Comics
