Name1,Name2,Name1_res,Draw,Name2_res,Names_x,Intelligence_x,Strength_x,Speed_x,Durability_x,Power_x,Combat_x,Names_y,Intelligence_y,Strength_y,Speed_y,Durability_y,Power_y,Combat_y
Batman,Superman,30.4,1.5,68.2,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Hulk,Superman,28.5,0.8,70.8,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Hulk,Iron Man,80.2,1.5,18.3,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Iceman,Human Torch,80.9,0.6,18.5,Iceman,58.33,24.33,31.33,50.0,71.67,56.67,Human Torch,65.0,8.0,35.0,36.67,56.67,48.33
Wolverine,Catwoman,94.1,0.0,5.9,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5,Catwoman,58.75,4.12,10.62,9.56,14.19,59.69
Deadpool,Shadowcat,57.1,28.6,14.3,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Shadowcat,70.0,1.0,10.33,18.33,58.33,55.0
Thing,Colossus,41.3,1.9,56.9,Thing,63.75,97.5,43.75,85.0,75.0,62.5,Colossus,55.0,75.0,25.0,60.0,60.0,60.0
Green Lantern,A-Bomb,14.3,7.1,78.6,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37,A-Bomb,55.0,95.0,65.0,65.0,55.0,65.0
Rhino,Juggernaut,2.2,0.0,97.8,Rhino,40.0,30.0,22.33,26.67,30.0,25.0,Juggernaut,60.0,85.0,77.0,85.0,91.0,66.0
Rhino,Killer Croc,84.8,2.2,13.0,Rhino,40.0,30.0,22.33,26.67,30.0,25.0,Killer Croc,47.0,28.0,15.4,15.8,28.0,39.0
Hulk,Shazam,43.2,3.4,53.4,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Hulk,Ultron,66.2,2.9,30.9,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Ultron,95.0,77.5,71.25,80.0,77.5,80.0
Brainiac,Hercules,20.0,20.0,60.0,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Hercules,70.0,100.0,75.0,100.0,100.0,85.0
Brainiac,Hercules,20.0,20.0,60.0,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Hercules,65.0,100.0,80.0,100.0,100.0,100.0
Killer Croc,Abraxas,0.0,0.0,100.0,Killer Croc,47.0,28.0,15.4,15.8,28.0,39.0,Abraxas,100.0,100.0,100.0,100.0,100.0,70.0
Brainiac,Juggernaut,42.9,14.3,42.9,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Juggernaut,60.0,85.0,77.0,85.0,91.0,66.0
Brainiac,Superman,20.4,0.0,79.6,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Ra's Al Ghul,Absorbing Man,20.0,20.0,60.0,Ra's Al Ghul,79.0,18.8,23.8,11.4,22.2,85.0,Absorbing Man,48.33,75.0,40.67,78.33,73.33,55.0
Brainiac,Deadman,16.7,33.3,50.0,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Deadman,65.0,10.33,46.67,66.67,53.33,45.0
Ra's Al Ghul,Sabretooth,28.6,0.0,71.4,Ra's Al Ghul,79.0,18.8,23.8,11.4,22.2,85.0,Sabretooth,57.5,21.5,19.5,40.0,42.5,90.0
Wolverine,Sabretooth,81.9,4.3,13.8,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5,Sabretooth,57.5,21.5,19.5,40.0,42.5,90.0
Brainiac,Wonder Man,71.4,14.3,14.3,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Wonder Man,70.0,95.0,75.0,90.0,85.0,70.0
Wonder Man,Faora,0.0,37.5,62.5,Wonder Man,70.0,95.0,75.0,90.0,85.0,70.0,Faora,70.0,98.33,81.67,66.67,78.33,76.67
Superman,Lex Luthor,96.8,0.0,3.2,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Lex Luthor,90.0,51.64,53.45,45.27,42.36,43.73
Wonder Man,Bizarro,28.6,14.3,57.1,Wonder Man,70.0,95.0,75.0,90.0,85.0,70.0,Bizarro,35.0,100.0,75.0,83.33,75.0,33.33
Superman,Iron Man,84.0,0.0,16.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Superman,Green Lantern,83.7,0.0,16.3,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37
Gambit,Dazzler,40.0,20.0,40.0,Gambit,65.0,5.0,25.0,15.0,60.0,75.0,Dazzler,75.0,1.0,20.0,20.0,75.0,60.0
Gambit,Captain America,30.0,2.0,68.0,Gambit,65.0,5.0,25.0,15.0,60.0,75.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Gambit,Callisto,83.3,8.3,8.3,Gambit,65.0,5.0,25.0,15.0,60.0,75.0,Callisto,60.0,1.0,25.0,10.0,50.0,50.0
Gambit,Bullseye,93.2,0.0,6.8,Gambit,65.0,5.0,25.0,15.0,60.0,75.0,Bullseye,63.33,10.67,13.33,10.0,13.33,73.33
Gambit,Banshee,66.7,33.3,0.0,Gambit,65.0,5.0,25.0,15.0,60.0,75.0,Banshee,60.0,7.0,25.0,12.5,45.0,57.5
Gambit,Aquaman,0.0,0.0,100.0,Gambit,65.0,5.0,25.0,15.0,60.0,75.0,Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
3-D Man,A-Bomb,1.6,0.0,98.4,3-D Man,55.0,9.0,9.0,9.0,60.0,30.0,A-Bomb,55.0,95.0,65.0,65.0,55.0,65.0
Namora,Aquaman,0.0,0.0,100.0,Namora,62.5,35.0,35.0,50.0,60.0,70.0,Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
Nightcrawler,Kingpin,100.0,0.0,0.0,Nightcrawler,55.0,19.0,18.0,15.0,57.5,50.0,Kingpin,66.25,22.0,14.0,17.5,12.5,65.0
Pyro,Aquaman,0.0,0.0,100.0,Pyro,55.0,5.0,25.0,20.0,50.0,40.0,Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
Nightcrawler,Firebird,0.0,50.0,50.0,Nightcrawler,55.0,19.0,18.0,15.0,57.5,50.0,Firebird,60.0,25.0,75.0,100.0,45.0,55.0
Wonder Woman,Iron Man,84.9,0.0,15.1,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Angel,Wonder Man,0.0,20.0,80.0,Angel,57.5,15.0,25.0,13.5,40.0,50.0,Wonder Man,70.0,95.0,75.0,90.0,85.0,70.0
Wonder Woman,Power Girl,57.1,1.5,41.4,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75,Power Girl,77.5,86.25,71.25,80.0,86.25,57.5
Wonder Man,Power Girl,29.4,17.6,52.9,Wonder Man,70.0,95.0,75.0,90.0,85.0,70.0,Power Girl,77.5,86.25,71.25,80.0,86.25,57.5
Wonder Man,Wonder Woman,22.0,0.0,78.0,Wonder Man,70.0,95.0,75.0,90.0,85.0,70.0,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75
Lizard,Scorpion,55.6,11.1,33.3,Lizard,80.0,25.0,25.0,25.0,40.0,30.0,Scorpion,65.0,29.0,21.0,20.0,35.0,60.0
Darkseid,Martian Manhunter,84.2,0.0,15.8,Darkseid,98.1,99.76,92.38,91.43,95.48,97.14,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0
Deadpool,Juggernaut,27.8,0.0,72.2,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Juggernaut,60.0,85.0,77.0,85.0,91.0,66.0
Lizard,Scarecrow,40.0,20.0,40.0,Lizard,80.0,25.0,25.0,25.0,40.0,30.0,Scarecrow,83.33,9.0,16.33,12.0,20.0,31.33
Deadpool,Deathstroke,73.7,0.5,25.8,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Deathstroke,73.46,20.69,27.08,21.15,38.08,96.54
Thor,Hulk,70.3,0.7,28.9,Thor,60.0,100.0,100.0,100.0,100.0,80.0,Hulk,65.83,91.39,62.83,78.89,85.56,68.06
Thor,Hulk,70.3,0.7,28.9,Thor,69.5,95.5,79.75,79.0,90.0,83.25,Hulk,65.83,91.39,62.83,78.89,85.56,68.06
Thor,Martian Manhunter,58.6,1.4,40.1,Thor,60.0,100.0,100.0,100.0,100.0,80.0,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0
Thor,Martian Manhunter,58.6,1.4,40.1,Thor,69.5,95.5,79.75,79.0,90.0,83.25,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0
Batman,Scarecrow,100.0,0.0,0.0,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Scarecrow,83.33,9.0,16.33,12.0,20.0,31.33
Silver Surfer,3-D Man,100.0,0.0,0.0,Silver Surfer,89.0,89.5,100.0,87.0,95.5,70.0,3-D Man,55.0,9.0,9.0,9.0,60.0,30.0
Silver Surfer,Spider-Man,88.2,0.0,11.8,Silver Surfer,89.0,89.5,100.0,87.0,95.5,70.0,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26
Hulk,Martian Manhunter,19.3,0.7,80.0,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0
Moonstone,Abomination,45.5,9.1,45.5,Moonstone,75.0,30.0,50.0,50.0,70.0,40.0,Abomination,72.5,95.0,62.5,72.5,70.0,72.5
Emma Frost,Abomination,75.0,12.5,12.5,Emma Frost,67.5,15.0,6.0,35.0,62.5,50.0,Abomination,72.5,95.0,62.5,72.5,70.0,72.5
Emma Frost,A-Bomb,85.7,14.3,0.0,Emma Frost,67.5,15.0,6.0,35.0,62.5,50.0,A-Bomb,55.0,95.0,65.0,65.0,55.0,65.0
Superman,Martian Manhunter,39.5,0.3,60.2,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0
Wonder Girl,Gamora,57.1,14.3,28.6,Wonder Girl,66.67,36.67,38.0,35.0,48.33,76.67,Gamora,65.0,20.0,47.0,42.5,52.5,90.0
Spider-Man,Iron Man,25.7,0.9,73.4,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Black Panther,Iron Man,24.0,1.0,75.0,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Black Panther,Red Robin,66.7,16.7,16.7,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78,Red Robin,85.0,3.0,15.0,9.0,15.0,85.0
Robin,Red Robin,25.0,8.3,66.7,Robin,73.57,8.5,12.71,10.21,12.86,83.21,Red Robin,85.0,3.0,15.0,9.0,15.0,85.0
